idx,target,event_type,reason
0,-1.0,SHORT_TP,SHORT_TP
1,-1.0,SHORT_TP,SHORT_TP
2,1.0,LONG_TP,LONG_TP
3,-1.0,SHORT_TP,SHORT_TP
4,-1.0,SHORT_TP,SHORT_TP
5,-1.0,SHORT_TP,SHORT_TP
6,-1.0,SHORT_TP,SHORT_TP
7,-1.0,SHORT_TP,SHORT_TP
8,-1.0,SHORT_TP,SHORT_TP
9,-1.0,SHORT_TP,SHORT_TP
10,-1.0,SHORT_TP,SHORT_TP
11,-1.0,SHORT_TP,SHORT_TP
12,-1.0,SHORT_TP,SHORT_TP
13,-1.0,SHORT_TP,SHORT_TP
14,-1.0,SHORT_TP,SHORT_TP
15,-1.0,SHORT_TP,SHORT_TP
16,-1.0,SHORT_TP,SHORT_TP
17,-1.0,SHORT_TP,SHORT_TP
18,-1.0,SHORT_TP,SHORT_TP
19,-1.0,SHORT_TP,SHORT_TP
20,-1.0,SHORT_TP,SHORT_TP
21,-1.0,SHORT_TP,SHORT_TP
22,-1.0,SHORT_TP,SHORT_TP
23,1.0,LONG_TP,LONG_TP
24,-1.0,SHORT_TP,SHORT_TP
25,-1.0,SHORT_TP,SHORT_TP
26,-1.0,SHORT_TP,SHORT_TP
27,-1.0,SHORT_TP,SHORT_TP
28,-1.0,SHORT_TP,SHORT_TP
29,1.0,LONG_TP,LONG_TP
30,-1.0,SHORT_TP,SHORT_TP
31,1.0,LONG_TP,LONG_TP
32,-1.0,SHORT_TP,SHORT_TP
33,-1.0,SHORT_TP,SHORT_TP
34,-1.0,SHORT_TP,SHORT_TP
35,-1.0,SHORT_TP,SHORT_TP
36,-1.0,SHORT_TP,SHORT_TP
37,-1.0,SHORT_TP,SHORT_TP
38,1.0,LONG_TP,LONG_TP
39,-1.0,SHORT_TP,SHORT_TP
40,-1.0,SHORT_TP,SHORT_TP
41,-1.0,SHORT_TP,SHORT_TP
42,-1.0,SHORT_TP,SHORT_TP
43,-1.0,SHORT_TP,SHORT_TP
44,-1.0,SHORT_TP,SHORT_TP
45,-1.0,SHORT_TP,SHORT_TP
46,-1.0,SHORT_TP,SHORT_TP
47,-1.0,SHORT_TP,SHORT_TP
48,-1.0,SHORT_TP,SHORT_TP
49,1.0,LONG_TP,LONG_TP
50,1.0,LONG_TP,LONG_TP
51,1.0,LONG_TP,LONG_TP
52,1.0,LONG_TP,LONG_TP
53,1.0,LONG_TP,LONG_TP
54,1.0,LONG_TP,LONG_TP
55,1.0,LONG_TP,LONG_TP
56,1.0,LONG_TP,LONG_TP
57,1.0,LONG_TP,LONG_TP
58,1.0,LONG_TP,LONG_TP
59,1.0,LONG_TP,LONG_TP
60,1.0,LONG_TP,LONG_TP
61,1.0,LONG_TP,LONG_TP
62,1.0,LONG_TP,LONG_TP
63,1.0,LONG_TP,LONG_TP
64,1.0,LONG_TP,LONG_TP
65,1.0,LONG_TP,LONG_TP
66,1.0,LONG_TP,LONG_TP
67,1.0,LONG_TP,LONG_TP
68,1.0,LONG_TP,LONG_TP
69,1.0,LONG_TP,LONG_TP
70,1.0,LONG_TP,LONG_TP
71,1.0,LONG_TP,LONG_TP
72,1.0,LONG_TP,LONG_TP
73,1.0,LONG_TP,LONG_TP
74,1.0,LONG_TP,LONG_TP
75,-1.0,SHORT_TP,SHORT_TP
76,-1.0,SHORT_TP,SHORT_TP
77,-1.0,SHORT_TP,SHORT_TP
78,-1.0,SHORT_TP,SHORT_TP
79,-1.0,SHORT_TP,SHORT_TP
80,-1.0,SHORT_TP,SHORT_TP
81,-1.0,SHORT_TP,SHORT_TP
82,-1.0,SHORT_TP,SHORT_TP
83,-1.0,SHORT_TP,SHORT_TP
84,-1.0,SHORT_TP,SHORT_TP
85,-1.0,SHORT_TP,SHORT_TP
86,-1.0,SHORT_TP,SHORT_TP
87,-1.0,SHORT_TP,SHORT_TP
88,-1.0,SHORT_TP,SHORT_TP
89,-1.0,SHORT_TP,SHORT_TP
90,-1.0,SHORT_TP,SHORT_TP
91,1.0,LONG_TP,LONG_TP
92,1.0,LONG_TP,LONG_TP
93,1.0,LONG_TP,LONG_TP
94,1.0,LONG_TP,LONG_TP
95,1.0,LONG_TP,LONG_TP
96,1.0,LONG_TP,LONG_TP
97,1.0,LONG_TP,LONG_TP
98,1.0,LONG_TP,LONG_TP
99,1.0,LONG_TP,LONG_TP
100,1.0,LONG_TP,LONG_TP
101,-1.0,SHORT_TP,SHORT_TP
102,1.0,LONG_TP,LONG_TP
103,1.0,LONG_TP,LONG_TP
104,1.0,LONG_TP,LONG_TP
105,1.0,LONG_TP,LONG_TP
106,-1.0,SHORT_TP,SHORT_TP
107,-1.0,SHORT_TP,SHORT_TP
108,-1.0,SHORT_TP,SHORT_TP
109,-1.0,SHORT_TP,SHORT_TP
110,-1.0,SHORT_TP,SHORT_TP
111,-1.0,SHORT_TP,SHORT_TP
112,-1.0,SHORT_TP,SHORT_TP
113,-1.0,SHORT_TP,SHORT_TP
114,-1.0,SHORT_TP,SHORT_TP
115,-1.0,SHORT_TP,SHORT_TP
116,-1.0,SHORT_TP,SHORT_TP
117,-1.0,SHORT_TP,SHORT_TP
118,-1.0,SHORT_TP,SHORT_TP
119,-1.0,SHORT_TP,SHORT_TP
120,-1.0,SHORT_TP,SHORT_TP
121,-1.0,SHORT_TP,SHORT_TP
122,1.0,LONG_TP,LONG_TP
123,1.0,LONG_TP,LONG_TP
124,1.0,LONG_TP,LONG_TP
125,1.0,LONG_TP,LONG_TP
126,1.0,LONG_TP,LONG_TP
127,1.0,LONG_TP,LONG_TP
128,1.0,LONG_TP,LONG_TP
129,1.0,LONG_TP,LONG_TP
130,1.0,LONG_TP,LONG_TP
131,1.0,LONG_TP,LONG_TP
132,-1.0,SHORT_TP,SHORT_TP
133,-1.0,SHORT_TP,SHORT_TP
134,-1.0,SHORT_TP,SHORT_TP
135,-1.0,SHORT_TP,SHORT_TP
136,-1.0,SHORT_TP,SHORT_TP
137,-1.0,SHORT_TP,SHORT_TP
138,-1.0,SHORT_TP,SHORT_TP
139,-1.0,SHORT_TP,SHORT_TP
140,-1.0,SHORT_TP,SHORT_TP
141,-1.0,SHORT_TP,SHORT_TP
142,-1.0,SHORT_TP,SHORT_TP
143,-1.0,SHORT_TP,SHORT_TP
144,-1.0,SHORT_TP,SHORT_TP
145,-1.0,SHORT_TP,SHORT_TP
146,-1.0,SHORT_TP,SHORT_TP
147,-1.0,SHORT_TP,SHORT_TP
148,-1.0,SHORT_TP,SHORT_TP
149,-1.0,SHORT_TP,SHORT_TP
150,-1.0,SHORT_TP,SHORT_TP
151,-1.0,SHORT_TP,SHORT_TP
152,-1.0,SHORT_TP,SHORT_TP
153,-1.0,SHORT_TP,SHORT_TP
154,-1.0,SHORT_TP,SHORT_TP
155,-1.0,SHORT_TP,SHORT_TP
156,-1.0,SHORT_TP,SHORT_TP
157,-1.0,SHORT_TP,SHORT_TP
158,-1.0,SHORT_TP,SHORT_TP
159,-1.0,SHORT_TP,SHORT_TP
160,-1.0,SHORT_TP,SHORT_TP
161,-1.0,SHORT_TP,SHORT_TP
162,-1.0,SHORT_TP,SHORT_TP
163,-1.0,SHORT_TP,SHORT_TP
164,-1.0,SHORT_TP,SHORT_TP
165,-1.0,SHORT_TP,SHORT_TP
166,-1.0,SHORT_TP,SHORT_TP
167,-1.0,SHORT_TP,SHORT_TP
168,-1.0,SHORT_TP,SHORT_TP
169,-1.0,SHORT_TP,SHORT_TP
170,-1.0,SHORT_TP,SHORT_TP
171,-1.0,SHORT_TP,SHORT_TP
172,-1.0,SHORT_TP,SHORT_TP
173,-1.0,SHORT_TP,SHORT_TP
174,-1.0,SHORT_TP,SHORT_TP
175,-1.0,SHORT_TP,SHORT_TP
176,-1.0,SHORT_TP,SHORT_TP
177,1.0,LONG_TP,LONG_TP
178,-1.0,SHORT_TP,SHORT_TP
179,-1.0,SHORT_TP,SHORT_TP
180,-1.0,SHORT_TP,SHORT_TP
181,-1.0,SHORT_TP,SHORT_TP
182,-1.0,SHORT_TP,SHORT_TP
183,1.0,LONG_TP,LONG_TP
184,-1.0,SHORT_TP,SHORT_TP
185,-1.0,SHORT_TP,SHORT_TP
186,-1.0,SHORT_TP,SHORT_TP
187,-1.0,SHORT_TP,SHORT_TP
188,-1.0,SHORT_TP,SHORT_TP
189,-1.0,SHORT_TP,SHORT_TP
190,-1.0,SHORT_TP,SHORT_TP
191,-1.0,SHORT_TP,SHORT_TP
192,-1.0,SHORT_TP,SHORT_TP
193,-1.0,SHORT_TP,SHORT_TP
194,-1.0,SHORT_TP,SHORT_TP
195,-1.0,SHORT_TP,SHORT_TP
196,-1.0,SHORT_TP,SHORT_TP
197,-1.0,SHORT_TP,SHORT_TP
198,1.0,LONG_TP,LONG_TP
199,1.0,LONG_TP,LONG_TP
200,-1.0,SHORT_TP,SHORT_TP
201,1.0,LONG_TP,LONG_TP
202,1.0,LONG_TP,LONG_TP
203,-1.0,SHORT_TP,SHORT_TP
204,-1.0,SHORT_TP,SHORT_TP
205,-1.0,SHORT_TP,SHORT_TP
206,-1.0,SHORT_TP,SHORT_TP
207,-1.0,SHORT_TP,SHORT_TP
208,1.0,LONG_TP,LONG_TP
209,1.0,LONG_TP,LONG_TP
210,1.0,LONG_TP,LONG_TP
211,1.0,LONG_TP,LONG_TP
212,1.0,LONG_TP,LONG_TP
213,1.0,LONG_TP,LONG_TP
214,1.0,LONG_TP,LONG_TP
215,1.0,LONG_TP,LONG_TP
216,1.0,LONG_TP,LONG_TP
217,1.0,LONG_TP,LONG_TP
218,1.0,LONG_TP,LONG_TP
219,1.0,LONG_TP,LONG_TP
220,1.0,LONG_TP,LONG_TP
221,1.0,LONG_TP,LONG_TP
222,1.0,LONG_TP,LONG_TP
223,1.0,LONG_TP,LONG_TP
224,1.0,LONG_TP,LONG_TP
225,1.0,LONG_TP,LONG_TP
226,1.0,LONG_TP,LONG_TP
227,1.0,LONG_TP,LONG_TP
228,1.0,LONG_TP,LONG_TP
229,1.0,LONG_TP,LONG_TP
230,1.0,LONG_TP,LONG_TP
231,1.0,LONG_TP,LONG_TP
232,1.0,LONG_TP,LONG_TP
233,1.0,LONG_TP,LONG_TP
234,1.0,LONG_TP,LONG_TP
235,1.0,LONG_TP,LONG_TP
236,1.0,LONG_TP,LONG_TP
237,1.0,LONG_TP,LONG_TP
238,1.0,LONG_TP,LONG_TP
239,1.0,LONG_TP,LONG_TP
240,1.0,LONG_TP,LONG_TP
241,1.0,LONG_TP,LONG_TP
242,1.0,LONG_TP,LONG_TP
243,1.0,LONG_TP,LONG_TP
